cantidad QuickSort, MergeSort, Arbol Binario
50000,0.15670013427734375,0.5314347743988037,0.24960041046142578
50000,0.14121460914611816,0.5355148315429688,0.2814047336578369
50000,0.185438871383667,0.5311429500579834,0.2612264156341553
60000,0.172745943069458,0.685701847076416,0.345536470413208
60000,0.17923831939697266,0.6889867782592773,0.33463549613952637
60000,0.1809837818145752,0.6874167919158936,0.3659179210662842
60000,0.1879582405090332,0.7377221584320068,0.34067296981811523
60000,0.17658686637878418,0.6902401447296143,0.3204681873321533
60000,0.17672038078308105,0.7017583847045898,0.34209728240966797
60000,0.1757798194885254,0.6981682777404785,0.38634610176086426
60000,0.17564821243286133,0.7390434741973877,0.33063411712646484
60000,0.18006658554077148,0.6851446628570557,0.32777929306030273
60000,0.1782848834991455,0.6906070709228516,0.3499729633331299
70000,0.2961852550506592,0.9327507019042969,0.3959543704986572
70000,0.23645901679992676,0.9773316383361816,0.42853236198425293
70000,0.23146605491638184,0.8863697052001953,0.44315338134765625
70000,0.21398520469665527,0.9024913311004639,0.3966095447540283
70000,0.20798015594482422,0.9163622856140137,0.38915562629699707
70000,0.22684764862060547,0.9135761260986328,0.39798426628112793
70000,0.21169185638427734,0.8822550773620605,0.42140817642211914
70000,0.21046233177185059,0.9037015438079834,0.3989548683166504
70000,0.21209263801574707,0.9134142398834229,0.40726661682128906
70000,0.24291133880615234,0.8820183277130127,0.43227195739746094
80000,0.24376249313354492,1.2293035984039307,0.4888014793395996
80000,0.23517131805419922,1.1019692420959473,0.5246729850769043
80000,0.2431797981262207,1.1307837963104248,0.5028650760650635
80000,0.23560166358947754,1.1577320098876953,0.4675865173339844
80000,0.2395491600036621,1.1615996360778809,0.5205912590026855
80000,0.22937369346618652,1.1075410842895508,0.552161455154419
80000,0.23236870765686035,1.1161425113677979,0.4969053268432617
80000,0.24195146560668945,1.1397111415863037,0.47346043586730957
80000,0.2384955883026123,1.1330933570861816,0.5295674800872803
80000,0.24205613136291504,1.1130287647247314,0.4982421398162842
90000,0.37940430641174316,1.3392109870910645,0.5537290573120117
90000,0.3144083023071289,1.3574702739715576,0.5262703895568848
90000,0.2779958248138428,1.36018705368042,0.5530083179473877
90000,0.267547607421875,1.424842357635498,0.6913115978240967
90000,0.31581783294677734,1.5094974040985107,0.6280169486999512
90000,0.26806163787841797,1.3743655681610107,0.5926883220672607
90000,0.27188992500305176,1.3646130561828613,0.5836291313171387
90000,0.2680394649505615,1.3941266536712646,0.5648720264434814
90000,0.2789194583892822,1.3780920505523682,0.5656013488769531
90000,0.2921156883239746,1.342146635055542,0.6976227760314941
100000,0.32599306106567383,1.6313996315002441,0.6522340774536133
100000,0.29659104347229004,1.623730182647705,0.7298214435577393
100000,0.30704665184020996,1.6374738216400146,0.6124517917633057
100000,0.30360841751098633,1.648425579071045,0.6900639533996582
100000,0.30109262466430664,1.628652811050415,0.6869697570800781
100000,0.29256701469421387,1.6979851722717285,0.6724767684936523
100000,0.3248927593231201,1.5998032093048096,0.6592922210693359
100000,0.297107458114624,1.7460544109344482,0.7163112163543701
100000,0.2972726821899414,1.6097664833068848,0.6708111763000488
100000,0.30893945693969727,1.7059454917907715,0.6388232707977295
